symbol,length,batch_number
TMSB4X,44,0
TOMM5,51,0
RPS29,56,0
ATP5MK,58,0
NDUFB1,58,1
SERF2,59,1
SMIM3,60,1
C12orf75,63,1
TMA7,64,2
NOP10,64,2
SERP1,66,2
FXYD2,66,2
C4orf3,66,3
CMC4,68,3
SNURF,71,3
GNG2,71,3
GTF2H5,71,4
TMEM167A,72,4
SMIM7,75,4
NDUFC1,76,4
SMIM5,77,5
CAMK2N1,78,5
CKS2,79,5
TMEM258,79,5
CAMK2N2,79,6
CD24,80,6
C5orf58,81,6
NDUFA4,81,6
CTNNBIP1,81,7
PHGR1,82,7
IER3IP1,82,7
ELOF1,83,7
CDC42SE2,84,8
MYMX,84,8
CHCHD7,85,8
SF3B5,86,8
FCER1G,86,9
SPINK4,86,9
C5orf46,87,9
NDUFA4L2,87,9
BLCAP,87,10
SYCE3,88,10
HEPN1,88,10
ACBD7,88,10
IAPP,89,11
DYNLL2,89,11
DYNLL1,89,11
BANF1,89,11
HMGN4,90,12
TIMM10,90,12
MLLT11,90,12
HOPX,91,12
HRK,91,13
S100B,92,13
HIGD1A,93,13
S100A8,93,13
DEFA5,94,14
TIMM13,95,14
SUMO2,95,14
S100P,95,14
LSM8,96,15
SEC61B,96,15
PLGLB1,96,15
SPANXD,97,15
CARD16,97,16
TIMM8A,97,16
MCRIP1,97,16
SPANXA2,97,16
CSTA,98,17
CCL2,99,17
CXCL8,99,17
ACYP2,99,17
GGTA1,100,18
CFAP141,101,18
ENY2,101,18
S100A3,101,18
SUMO1,101,19
S100A7,101,19
BEX3,101,19
S100A4,101,19
KRTAP25-1,102,20
LSM3,102,20
SPANXB1,103,20
MRPL36,103,20
H4C16,103,21
KCNE3,103,21
MYCBP,103,21
S100A16,103,21
PCBD1,104,22
RPL36,105,22
CYCS,105,22
C22orf39,105,22
COA3,106,23
HIGD2B,106,23
ATP5IF1,106,23
HIGD2A,106,23
RPL36AL,106,24
HMGA1,107,24
POLD4,107,24
SMDT1,107,24
MTCP1,107,25
SMIM19,107,25
FKBP1B,108,25
RBX1,108,25
PPP1R1C,109,26
HMGA2,109,26
PAGE5,110,26
PVALB,110,26
ANAPC16,110,27
TUSC2,110,27
CHCHD5,110,27
PTMA,110,27
PHF5A,110,28
BET1L,111,28
PCLAF,111,28
MRPL53,112,28
UCN2,112,29
RNF7,113,29
TYROBP,113,29
CCL15,113,29
C4orf46,113,30
NDUFA7,113,30
TCL1A,114,30
COX7A2L,114,30
S100A9,114,31
PDZK1IP1,114,31
PPDPF,114,31
MIF,115,31
MIEN1,115,32
SDHAF1,115,32
VAMP5,116,32
TMEM263,116,32
GAGE13,117,33
GAGE1,117,33
RPL34,117,33
POLR2J,117,33
POLE4,117,34
GABARAP,117,34
SMIM17,118,34
DDT,118,34
GRAPL,118,35
RAMAC,118,35
RPS20,119,35
ID3,119,35
B2M,119,36
CREBL2,120,36
ANAPC15,121,36
SNORC,121,36
RPA3,121,37
MRPL52,122,37
RPL22L1,122,37
SNRNP25,123,37
TMEM254,123,38
NHLRC4,123,38
CDPF1,123,38
TP53TG3D,124,38
IGFL4,124,39
TP53TG3,124,39
TAX1BP3,124,39
LAMTOR3,124,39
NAA38,125,40
RPS25,125,40
PDCD5,125,40
MRPS6,125,40
MAP1LC3B,125,41
SF3B6,125,41
UQCC2,126,41
KRBOX5,126,41
H2BC7,126,42
C12orf57,126,42
HINT1,126,42
H2BC10,126,42
POLR1H,126,43
H2BC13,126,43
CBY1,126,43
H2BC5,126,43
C2orf76,126,44
SNCG,127,44
FABP1,127,44
MT1E,127,44
STH,128,45
BEX2,128,45
SH2D1A,128,45
UBA52,128,45
RAB5IF,129,46
PEA15,130,46
SWI5,130,46
SMIM24,130,46
C1orf162,130,47
MTURN,131,47
FAM241A,132,47
FAM174C,132,47
CDKN2A,132,48
ASIP,132,48
NHLH1,133,48
LSM1,133,48
PDRG1,133,49
SPAG11B,133,49
CYB5A,134,49
ID2,134,49
LGALS1,135,50
CISD2,135,50
RPS17,135,50
H3-3A,136,50
H3C2,136,51
H3C14,136,51
H3C13,136,51
RPL28,137,51
PFN3,137,52
GOLT1B,138,52
HCFC1R1,138,52
MRPL54,138,52
FTCDNL1,138,53
CRABP2,138,53
CDKN2B,138,53
TRAPPC2L,139,53
LGALS14,139,54
SNCA,140,54
TRAPPC2B,140,54
SPATA33,140,54
TMEM18,140,55
PFN1,140,55
PTRHD1,140,55
C14orf119,140,55
ATG12,140,56
RPL23,140,56
POP7,140,56
LYPD1,141,56
SPANXN3,141,57
C19orf12,141,57
STUM,141,57
NINJ2,142,57
CHCHD4,142,58
NDUFA13,144,58
BUD31,144,58
FAM107A,144,58
MIX23,144,59
RPL26,145,59
BAALC,145,59
NDUFA12,145,59
SYNJ2BP,145,60
PAGE1,146,60
SLC48A1,146,60
CALML5,146,60
UBE2D2,147,61
UBE2D3,147,61
UBE2D1,147,61
FHIT,147,61
AVPI1,147,62
RAMP1,148,62
SSBP1,148,62
CALM1,149,62
FAM72A,149,63
CST6,149,63
MRPL20,149,63
PLEKHJ1,149,63
PDE6D,150,64
HSPB3,150,64
CEBPG,150,64
DUSP23,150,64
LTC4S,150,65
TTC32,151,65
CHCHD2,151,65
RPS14,151,65
CKLF,152,66
PTGES,152,66
FIS1,152,66
NME1,152,66
CDRT4,152,67
NME2,152,67
UBE2B,152,67
UBE2N,152,67
UBE2A,152,68
ORMDL1,153,68
C15orf40,153,68
NDUFB11,153,68
MAL,153,69
PFDN5,154,69
