ref_ID,alt_ID,bait_ID,perturbation
ACTN4_1,ACTN4_4,TRIM23,True
BANP_1,BANP_3,CRX,True
BANP_1,BANP_2,POGZ,True
BANP_1,BANP_2,NMNAT1,True
BANP_1,BANP_2,CEP76,True
BANP_1,BANP_2,ZMIZ2,True
BANP_1,BANP_2,L3MBTL3,True
BANP_1,BANP_2,C1orf94,True
BANP_1,BANP_2,HSFY1,True
BANP_1,BANP_2,RAB3IP,True
BANP_1,BANP_2,PRR20A,True
BANP_1,BANP_3,CDX4,True
BANP_1,BANP_3,DLX3,True
BANP_1,BANP_2,TRAF4,True
BANP_1,BANP_3,FHL2,True
BANP_1,BANP_3,FOXM1_ORF2,True
BANP_1,BANP_3,FOXM1_ORF1,True
BANP_1,BANP_3,SP4,True
BANP_1,BANP_3,TRAF2,True
BANP_1,BANP_3,BLZF1,True
BANP_1,BANP_3,FHL5,True
BANP_1,BANP_3,TRAF4,True
BANP_1,BANP_3,TOX4,True
BANP_1,BANP_3,POGZ,True
BANP_1,BANP_2,TOX4,True
BANP_1,BANP_2,FHL5,True
BANP_1,BANP_3,NMNAT1,True
FAM64A_1,FAM64A_2,KRT40,True
FAM64A_1,FAM64A_2,SPAG5,True
FAM64A_1,FAM64A_2,CCNDBP1,True
FAM64A_1,FAM64A_2,HOOK2,True
FAM64A_1,FAM64A_2,AGTRAP,True
FAM64A_1,FAM64A_2,RINT1,True
FAM64A_1,FAM64A_2,BEND5,True
FAM64A_1,FAM64A_2,CEP70,True
FAM64A_1,FAM64A_2,DOCK8,True
FAM64A_1,FAM64A_2,MAL2,True
FAM64A_1,FAM64A_2,CMTM5,True
BANP_1,BANP_2,CDX4,True
BANP_1,BANP_2,BLZF1,True
BANP_1,BANP_2,CRX,True
BANP_1,BANP_2,DLX3,True
BANP_1,BANP_2,FHL2,True
BANP_1,BANP_2,FOXM1_ORF2,True
BANP_1,BANP_2,FOXM1_ORF1,True
BANP_1,BANP_2,MEOX1,True
BANP_1,BANP_2,MEOX2,True
BANP_1,BANP_2,REL,True
BANP_1,BANP_2,SP4,True
BANP_1,BANP_2,TRAF2,True
BANP_1,BANP_3,ZNF471,True
BANP_1,BANP_3,CEP76,True
NCK2_1,NCK2_2,LRRIQ3,True
ABCF3_1,ABCF3_2,RBPMS,True
BANP_1,BANP_7,PRR20A,True
PAK1IP1_1,PAK1IP1_4,PRKAR2B,True
PAK1IP1_1,PAK1IP1_4,REL,True
ZCWPW1_1,ZCWPW1_4,L3MBTL3,True
ZCWPW1_1,ZCWPW1_5,MEOX2,True
ZCWPW1_1,ZCWPW1_5,L3MBTL3,True
ZCWPW1_1,ZCWPW1_6,VAC14,True
ABCF3_1,ABCF3_2,MDFI,True
ABCF3_1,ABCF3_2,TRIM27_ORF2,True
ABCF3_1,ABCF3_2,PSME3,True
ABCF3_1,ABCF3_2,THAP1,True
BANP_1,BANP_7,L3MBTL3,True
LMBR1L_1,LMBR1L_2,MAGEA11,True
FAM54B_1,FAM54B_2,MAGEA12,True
FAM54B_1,FAM54B_2,ARMC1,True
DIABLO_1,DIABLO_2,ARL6IP1,True
DIABLO_1,DIABLO_2,AGTRAP,True
ANKRD50_1,ANKRD50_2,PEX5,True
METTL17_1,METTL17_2,MDFI,True
METTL17_1,METTL17_2,MEOX2,True
METTL17_1,METTL17_2,TRAF1,True
METTL17_1,METTL17_2,PNMA1,True
BANP_1,BANP_7,HSFY1,True
BANP_1,BANP_7,CEP76,True
BANP_1,BANP_3,ZMIZ2,True
BANP_1,BANP_4,HSFY1,True
BANP_1,BANP_3,L3MBTL3,True
BANP_1,BANP_3,C1orf94,True
BANP_1,BANP_3,HSFY1,True
BANP_1,BANP_3,RAB3IP,True
BANP_1,BANP_3,PRR20A,True
BANP_1,BANP_4,CDX4,True
BANP_1,BANP_4,TRAF2,True
BANP_1,BANP_4,FHL5,True
BANP_1,BANP_4,CEP76,True
BANP_1,BANP_4,L3MBTL3,True
BANP_1,BANP_4,PRR20A,True
BANP_1,BANP_7,FHL5,True
BANP_1,BANP_5,CDX4,True
BANP_1,BANP_5,FOXM1_ORF1,True
BANP_1,BANP_5,TRAF2,True
BANP_1,BANP_5,FHL5,True
BANP_1,BANP_5,CEP76,True
BANP_1,BANP_5,HSFY1,True
BANP_1,BANP_5,PRR20A,True
BANP_1,BANP_7,FOXM1_ORF2,True
BANP_1,BANP_7,FOXM1_ORF1,True
BANP_1,BANP_7,BLZF1,True
FAM64A_1,FAM64A_2,SIAH1_ORF1,True
FAM64A_1,FAM64A_2,VPS52,True
FAM64A_1,FAM64A_2,TRIM27_ORF1,True
HGS_1,HGS_2,INTS4,True
HGS_1,HGS_2,TFG,True
HGS_1,HGS_2,RBCK1,True
HGS_1,HGS_2,NUP62,True
HGS_1,HGS_2,LDOC1,True
HGS_1,HGS_2,SS18L1_ORF1,True
HGS_1,HGS_2,TRIM17,True
HGS_1,HGS_2,C10orf18,True
HGS_1,HGS_2,RINT1,True
HGS_1,HGS_2,CEP63,True
HGS_1,HGS_2,USHBP1,True
HGS_1,HGS_2,DYDC1,True
HGS_1,HGS_2,PNMA1,True
MYOT_1,MYOT_2,ACTN1,True
RIN1_1,RIN1_2,LZTS2,True
RIN1_1,RIN1_3,LZTS2,True
RIN1_1,RIN1_3,KRTAP13-1,True
SDC3_1,SDC3_2,KRTAP5-9,True
SDC3_1,SDC3_2,KRTAP4-2,True
SDC3_1,SDC3_2,KRTAP2-4,True
SDC3_1,SDC3_2,KRTAP10-3,True
RNF40_1,RNF40_2,MEOX2,True
AMMECR1_1,AMMECR1_2,MEOX2,True
HGS_1,HGS_2,KIAA0753,True
HGS_1,HGS_2,KRT38,True
FAM64A_1,FAM64A_2,TRIM27_ORF2,True
BTRC_1,BTRC_3,PLK4,True
SUCLA2_1,SUCLA2_2,ARL6IP1,True
SUCLA2_1,SUCLA2_2,AGTRAP,True
SUCLA2_1,SUCLA2_2,CMTM5,True
BTRC_1,BTRC_2,ATF4_ORF1,True
BTRC_1,BTRC_2,ATF4_ORF2,True
BTRC_1,BTRC_2,TACC1,True
BTRC_1,BTRC_2,PLK4,True
BTRC_1,BTRC_2,RASSF5,True
BTRC_1,BTRC_2,TRIM9_ORF2,True
BTRC_1,BTRC_2,TRIM9_ORF1,True
BTRC_1,BTRC_4,PLK4,True
HGS_1,HGS_2,TADA2A_ORF1,True
BTRC_1,BTRC_4,RASSF5,True
BTRC_1,BTRC_4,TRIM9_ORF2,True
PSTPIP2_1,PSTPIP2_3,KRT18,True
SEC22C_1,SEC22C_2,FATE1,True
SEC22C_1,SEC22C_3,FATE1,True
HGS_1,HGS_2,CRX,True
HGS_1,HGS_2,GOLGA2_ORF2,True
HGS_1,HGS_2,KRT18,True
HGS_1,HGS_2,KRT33B,True
HGS_1,HGS_2,TRIM27_ORF1,True
AMMECR1_1,AMMECR1_2,TRIM27_ORF1,True
AMMECR1_1,AMMECR1_2,EFEMP2,True
AMMECR1_1,AMMECR1_2,KRTAP10-1,True
LSM1_1,LSM1_3,LSM3,True
VPS33B_1,VPS33B_2,TNIP1_ORF2,True
VPS33B_1,VPS33B_2,VIPAR,True
ACTN4_1,ACTN4_4,MYOZ2,True
VPS33B_1,VPS33B_3,VIPAR,True
ZBTB32_1,ZBTB32_2,RBPMS,True
ZBTB32_1,ZBTB32_2,RHOXF2,True
GNMT_1,GNMT_3,ARRB1,True
GNMT_1,GNMT_4,ARRB1,True
GNMT_1,GNMT_4,GNMT,True
LSM1_1,LSM1_3,TFCP2,True
SBDS_1,SBDS_3,KLHL6,True
AMMECR1_1,AMMECR1_2,KRTAP10-3,True
IRAK4_1,IRAK4_2,MYD88,True
COPS4_1,COPS4_2,KRT19,True
COPS4_1,COPS4_2,UBQLN1_ORF1,True
COPS4_1,COPS4_2,USHBP1,True
VPS28_1,VPS28_2,GOLGA2_ORF1,True
DCTN4_1,DCTN4_2,GOLGA2_ORF1,True
DCTN4_1,DCTN4_3,GOLGA2_ORF1,True
DCTN4_1,DCTN4_3,HMG20A,True
NLGN3_1,NLGN3_2,UBQLN1_ORF2,True
FAM64A_1,FAM64A_2,GOLGA2_ORF2,True
FBXO8_1,FBXO8_2,TRIP13,True
SMUG1_1,SMUG1_2,CDC23,True
SMUG1_1,SMUG1_2,SKIL,True
SMUG1_1,SMUG1_2,CRX,True
RBM5_1,RBM5_2,MEOX1,True
RBM14_1,RBM14_2,HNRNPK_ORF1,True
RBM14_1,RBM14_3,HNRNPK_ORF1,True
RBM14_1,RBM14_3,HNRNPK_ORF2,True
RBM14_1,RBM14_3,CRLF3,True
STK25_1,STK25_2,GOLGA2_ORF2,True
STK25_1,STK25_2,TRIM27_ORF2,True
STK25_1,STK25_3,GOLGA2_ORF2,True
STK25_1,STK25_3,TRIM27_ORF2,True
SRSF10_1,SRSF10_2,MPP1,True
DOLK_1,DOLK_2,KCNA3,True
DOLK_1,DOLK_2,UBQLN1_ORF2,True
DOLK_1,DOLK_2,UBQLN1_ORF1,True
KIAA0907_1,KIAA0907_2,MAGEA12,True
KIAA0907_1,KIAA0907_2,RBM39,True
KIAA0907_1,KIAA0907_2,PUF60_ORF2,True
KIAA0907_1,KIAA0907_2,PUF60_ORF3,True
KIAA0907_1,KIAA0907_2,PUF60_ORF1,True
ARHGEF15_1,ARHGEF15_2,CEP55,True
ARHGAP26_1,ARHGAP26_2,CDC42EP2,True
CDK20_1,CDK20_3,TRIM2,True
METTL17_1,METTL17_2,CALCOCO2,True
METTL17_1,METTL17_2,MID2,True
METTL17_1,METTL17_2,CEP70,True
ZNF688_1,ZNF688_4,PNMA2,True
ZNF688_1,ZNF688_4,PSTPIP1,True
ZNF688_1,ZNF688_4,PNMA1,True
ZNF688_1,ZNF688_4,FHL5,True
ZNF688_1,ZNF688_4,MAGED1,True
ZNF688_1,ZNF688_4,TRAF4,True
ZNF688_1,ZNF688_4,TMCC2,True
ZNF688_1,ZNF688_4,ABI2,True
ZNF688_1,ZNF688_4,CALCOCO2,True
ZNF688_1,ZNF688_4,SPAG5,True
ZNF688_1,ZNF688_4,KHDRBS3,True
ZNF688_1,ZNF688_4,EHMT2,True
ZNF688_1,ZNF688_4,BLZF1,True
ZNF688_1,ZNF688_4,MID2,True
ZNF688_1,ZNF688_4,WWP2,True
ZNF688_1,ZNF688_4,FCHO1,True
ZNF688_1,ZNF688_4,TENC1,True
ZNF688_1,ZNF688_4,LDOC1,True
ZNF688_1,ZNF688_4,CEP72,True
ZNF688_1,ZNF688_4,ZC4H2,True
ZNF688_1,ZNF688_4,RPGRIP1,True
ZNF688_1,ZNF688_4,HOMEZ_ORF2,True
ZNF688_1,ZNF688_4,RINT1,True
