gene_symbol_a,gene_symbol_b
ABI1,ENAH
ABI1,EPS8
ABI1,NCKAP1
ABL1,ABI1
ABL1,ABI2
ABL1,CRK
ABL1,CRKL
ABL1,DOK1
ABL1,GPX1
ABL1,GRB2
ABL1,HSP90AA1
ABL1,HSPA4
ABL1,JUN
ABL1,MAVS
ABL1,MSH5
ABL1,NCK1
ABL1,NEDD9
ABL1,NTRK1
ABL1,PAG1
ABL1,PIK3R1
ABL1,PSMA7
ABL1,PSTPIP1
ABL1,RAD51
ABL1,SHC1
ABL1,SQSTM1
ABL1,STUB1
ABL1,TP73
ABL1,UBC
ABL1,VAV1
ABL1,WASF1
ABL1,YWHAB
ABL1,YWHAE
ABL1,YWHAG
ABL1,YWHAH
ABL1,YWHAQ
ABL1,YWHAZ
ABL1,ZDHHC16
ABL2,CDC37
ACSL3,LYN
ACVR1B,ACVR2A
ACVR1B,SMAD7
ACVR1B,SMURF1
ACVR2A,ENG
ACVR2A,INHBA
ACVR2A,PRSS50
ACVR2A,SYNJ2BP
AFF1,CCNT1
AFF1,CDK9
AFF1,DDX6
AFF1,ELL2
AFF1,HEXIM1
AFF1,MLLT1
AFF1,MLLT3
AFF1,RELA
AFF1,SIAH1
AFF3,MLLT3
AFF4,CCNT1
AFF4,CDK9
AFF4,ELL2
AFF4,MED26
AFF4,MLLT1
AFF4,MLLT3
ALK,GRB2
AMER1,KEAP1
AMER1,TRIM28
APOBEC3B,VHL
AR,AKT1
AR,CAV1
AR,CCND1
AR,COPS2
AR,CTNNB1
AR,DAXX
AR,DCAF6
AR,ERG
AR,FHL2
AR,FKBP5
AR,FOXA1
AR,FOXO1
AR,GADD45GIP1
AR,GSN
AR,HDAC1
AR,HIF1A
AR,HSP90AA1
AR,HSPA1A
AR,IRF2BPL
AR,KAT5
AR,KAT7
AR,KDM1A
AR,MAGEA11
AR,MDM2
AR,NCOA4
AR,NKX3-1
AR,NONO
AR,NR0B1
AR,NR2C1
AR,PAK6
AR,PARK7
AR,PAX6
AR,PIAS1
AR,PIAS2
AR,PPP1CA
AR,PTGES3
AR,RAD9A
AR,RANBP9
AR,RB1
AR,RCHY1
AR,RNF14
AR,RNF20
AR,RNF4
AR,RNF40
AR,SIAH2
AR,SMAD1
AR,SMAD3
AR,SP1
AR,SPOP
AR,SRC
AR,STAT3
AR,STUB1
AR,SUV39H2
AR,TAB2
AR,TBL1XR1
AR,TGFB1I1
AR,TNK2
AR,TRIM24
AR,TSG101
AR,TXNDC5
AR,UBE2I
AR,UBE3A
AR,USP12
AR,USP14
AR,USP26
AR,UXT
AR,VHL
AR,ZBTB16
AR,ZBTB7A
AR,ZMIZ1
AR,ZMIZ2
AR,ZNF451
ARHGEF12,GIPC1
ARHGEF12,GNA13
ARHGEF12,RHOA
ARNT,AHR
ARNT,AHRR
ARNT,EPAS1
ARNT,HIF1A
ARNT,HIF3A
ARNT,HNF4A
ARNT,SIM1
ARNT,SIM2
ASPSCR1,VCP
ASXL1,ENO1
ASXL1,RBBP4
ATP1A1,SPRTN
AXIN2,ANKRD6
AXIN2,GSK3B
AXIN2,RNF146
B2M,TAP1
BAP1,CBX3
BAP1,COPA
BAP1,COPE
BAP1,FOXK1
BAP1,FOXK2
BAP1,HAT1
BAP1,KLF5
BAP1,MBD6
BAP1,OGT
BAP1,PTEN
BAP1,RBBP7
BAP1,SFN
BAP1,YWHAB
BAP1,YWHAE
BAP1,YWHAZ
BARD1,AURKB
BARD1,BRCC3
BARD1,CBX3
BARD1,CSTF1
BARD1,CSTF2
BARD1,ESR1
BARD1,EWSR1
BARD1,NR1H3
BARD1,OLA1
BARD1,RAD51
BARD1,RBBP8
BARD1,TP53
BAX,BAK1
BAX,BCL2L1
BAX,BCL2L2
BAX,CLU
BAX,MCL1
BAX,SH3GLB1
BAX,SLC25A4
BAX,TP53
BAX,USP12
BAX,XRCC6
BCL10,AKT1
BCL10,BIRC2
BCL10,BIRC3
BCL10,CARD10
BCL10,CARD11
BCL10,CARD14
BCL10,CARD9
BCL10,CSNK1A1
BCL10,IKBKB
BCL10,IKBKG
BCL10,MALT1
BCL10,PRKCQ
BCL10,TRAF2
BCL11A,BCL6
BCL11A,NR2E1
BCL11A,NR2E3
BCL11A,NR2F1
BCL11A,NR2F2
BCL11B,HDAC1
BCL11B,HDAC2
BCL11B,MBD3
BCL11B,MTA1
BCL11B,MTA2
BCL11B,NR2F1
BCL11B,RBBP4
BCL11B,RBBP7
BCL2,AVEN
BCL2,BAD
BCL2,BAK1
BCL2,BAX
BCL2,BBC3
BCL2,BCAP31
BCL2,BCL2L10
BCL2,BCL2L11
BCL2,BECN1
BCL2,BFAR
BCL2,BIK
BCL2,BNIP2
BCL2,BNIP3
BCL2,BNIPL
BCL2,CASP8
BCL2,CDK1
BCL2,FKBP8
BCL2,HIF1A
BCL2,HRK
BCL2,HSP90AA1
BCL2,MDM4
BCL2,NR4A1
BCL2,PPID
BCL2,PPP2CA
BCL2,PPP3CA
BCL2,PSEN1
BCL2,RAD9A
BCL2,RAF1
BCL2,RRAS
BCL2,RTN4
BCL2,SMN1
BCL2,TP53
BCL3,COPS5
BCL3,CTBP1
BCL3,CTBP2
BCL3,CYLD
BCL3,HDAC1
BCL3,HDAC3
BCL3,JUN
BCL3,KAT5
BCL3,NFKB1
BCL3,PIR
BCL3,TBL1XR1
BCL6,BCL11A
BCL6,FBXO11
BCL6,HBEGF
BCL6,HDAC1
BCL6,HDAC4
BCL6,HDAC5
BCL6,HSP90AA1
BCL6,NACC1
BCL6,OLA1
BCL6,SIN3A
BCL6,ZBTB17
BCL6,ZBTB7A
BCL7A,SMARCA4
BCOR,RYBP
BCOR,SKP1
BCR,CRKL
BCR,GRB2
BCR,HCK
BCR,TSG101
BCR,UBC
BIRC3,BCL10
BIRC3,CASP8
BIRC3,CASP9
BIRC3,DIABLO
BIRC3,IRF1
BIRC3,RIPK1
BIRC3,RIPK2
BIRC3,TNFRSF1A
BIRC3,TRAF2
BIRC3,TRAF3
BIRC3,TRAF6
BIRC3,UBE2D1
BIRC3,UBE2D2
BIRC3,UBE2D3
BIRC3,UBXN1
BIRC3,USP35
BIRC3,XIAP
BLM,RAD51
BLM,RAD51D
BLM,RPA2
BLM,RPA3
BLM,TERF2
BLM,TP53
BLM,UBE2I
BMPR1A,BMPR2
BMPR1A,SF3B4
BMPR1A,SMAD7
BMPR1A,ZMYND11
BRAF,HRAS
BRAF,ITCH
BRAF,MAP2K1
BRAF,MAP2K2
BRAF,NRAS
BRAF,RAF1
BRAF,YWHAQ
BRCA1,SUMO1
BRD3,SPOP
BRD4,BRD9
BRD4,CDK9
BRD4,HDAC1
BRD4,HEXIM1
BRD4,JMJD6
BRD4,SPOP
BRD4,VHL
BTG1,CNOT7
BTG1,PRMT1
