symbol,max_pae,mean_plddt,max_plddt,min_plddt,mean_ptm,max_ptm,min_ptm,mean_iptm,max_iptm,min_iptm,min_sa_i_1,min_sa_i_2,max_sa_i_1,max_sa_i_2,avg_sa_i_1,avg_sa_i_2,min_sa_ni_1,min_sa_ni_2,max_sa_ni_1,max_sa_ni_2,avg_sa_ni_1,avg_sa_ni_2,min_fi_i_1,min_fi_i_2,max_fi_i_1,max_fi_i_2,avg_fi_i_1,avg_fi_i_2,min_fi_ni_1,min_fi_ni_2,max_fi_ni_1,max_fi_ni_2,avg_fi_ni_1,avg_fi_ni_2
SRSF3_GGTA1,31.71875,39.5,45.9239,37.0,0.33,0.38,0.3,0.13,0.2,0.11,-50.6392,-45.7234,-30.9176,-32.5012,-38.2824,-37.6652,-3.6209,-21.9828,3.7693,5.6522,-0.8836,-11.9146,-0.3084,-0.1572,0.0576,0.1465,-0.0929,0.022,-0.0671,-0.1868,0.0254,-0.033,-0.0157,-0.1173
CDKN2C_CD24,31.6875,69.08,70.4189,67.7863,0.65,0.66,0.64,0.1,0.13,0.08,-39.8559,-76.2991,-7.9629,-13.0006,-22.7268,-44.4851,-6.6139,13.1448,-2.9379,21.0044,-4.2762,18.3901,-0.0454,-0.0912,0.0038,0.6297,-0.0298,0.2281,-0.0302,-0.0199,0.0064,0.1833,-0.0142,0.0792
CDKN2A_CYCS,31.640625,77.66,79.4202,76.909,0.56,0.57,0.55,0.22,0.24,0.19,-48.3322,-55.2578,-32.24,-35.8079,-42.6469,-43.8089,-3.9982,-1.9153,-3.3004,-0.8205,-3.5468,-1.4208,-0.0963,0.0158,-0.0025,0.0897,-0.0471,0.06,-0.0897,0.0244,-0.0032,0.0637,-0.048,0.0427
CDKN2A_TRAPPC2L,31.65625,76.17,79.5144,73.3834,0.49,0.5,0.48,0.15,0.17,0.12,-39.697,-54.8631,-25.6113,-42.1084,-35.8283,-48.9756,-5.3491,-4.9293,-1.8973,-1.7885,-3.9462,-3.3363,-0.0277,0.0117,0.0713,0.2665,0.0088,0.0969,-0.0715,0.0267,-0.0402,0.0622,-0.0515,0.0445
HRAS_B2M,31.53125,78.16,78.8734,77.2888,0.58,0.59,0.56,0.14,0.19,0.12,-43.6527,-47.408,-34.1354,-26.3378,-38.8738,-37.7057,-1.7795,2.1952,-0.1875,5.0404,-0.9238,3.8504,-0.1612,-0.0476,0.0733,0.077,-0.0264,0.0021,-0.0504,-0.0498,0.0046,0.0084,-0.0104,-0.0225
RAC1_CDC42SE2,31.546875,67.31,68.1377,65.9915,0.68,0.69,0.67,0.21,0.34,0.15,-38.024,-69.1862,-26.5854,-39.0414,-32.483,-50.2448,-2.9783,-18.0966,-0.6536,21.2991,-1.2693,-1.5731,0.0324,-0.4375,0.1494,-0.0281,0.0827,-0.2104,-0.0412,-0.2534,-0.0195,-0.0638,-0.0309,-0.1614
RAC1_SMDT1,31.71875,65.55,66.0225,64.9496,0.64,0.65,0.63,0.16,0.17,0.14,-40.2369,-105.4644,-26.6506,-45.0583,-32.2782,-65.4962,-3.8984,-5.7621,-0.8899,1.1463,-1.7732,-2.5537,-0.0461,-0.2772,0.0599,0.3331,-0.0089,0.0473,-0.0511,-0.0666,0.0112,0.1728,-0.0223,0.0343
CDKN2A_UBE2I,31.59375,80.81,81.8762,79.3635,0.55,0.57,0.54,0.21,0.22,0.19,-42.2472,-47.0722,-40.105,-37.7966,-40.8318,-41.5102,-4.3747,-2.4942,-2.0761,-0.6151,-3.2019,-1.8624,-0.0913,-0.0678,0.0325,0.0042,-0.0291,-0.0367,-0.0617,0.0025,-0.0089,0.0137,-0.0314,0.0076
FHIT_UBE2I,28.484375,88.61,92.7363,86.1036,0.62,0.84,0.55,0.28,0.74,0.14,-52.8607,-38.3421,-33.3035,-26.7752,-43.2267,-33.8901,-1.6881,-2.4624,0.9353,-1.2502,-0.8656,-1.7571,-0.2932,-0.0049,0.2408,0.1443,-0.0329,0.0468,-0.026,-0.0045,0.017,0.0154,-0.0027,0.0013
CDKN2A_CETN2,31.640625,68.82,79.0684,60.7058,0.48,0.64,0.44,0.23,0.53,0.12,-53.3882,-55.0243,-32.3909,-30.9418,-40.8159,-40.6498,-4.5424,-13.4995,-2.5111,-5.6217,-3.6591,-9.4433,-0.0199,-0.2471,0.1552,-0.0264,0.0507,-0.0863,-0.0815,-0.046,-0.0031,0.0024,-0.0476,-0.0117
HRAS_LGALS1,31.078125,83.47,85.6569,82.2877,0.57,0.59,0.56,0.15,0.2,0.12,-70.6129,-41.0134,-52.0479,-32.3634,-59.9427,-36.482,-1.4446,-2.5844,0.2643,-1.3495,-0.6338,-1.7957,0.1592,-0.1233,0.4168,0.0918,0.2752,-0.0053,-0.0393,-0.0144,-0.0018,0.0538,-0.0243,0.0199
